2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = BODY_USER_M, value = 1900100011_ecms
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = SMF_SECURED_A_URL_X, value = tcps://10.150.130.1:55443,tcps://10.150.130.1:55443
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = SOCKET_LISTEN_PORT_N, value = 5000
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = SMF_CONNECT_RETRIES_N, value = -1
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = EQPT_IC_UPD, value = ic_upd
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = SMF_TRUSTSTORE_PWD_X, value = U2FsdGVkX1+9q74UGSEnQEztbfHvxCNfqCYVVrQSqYk=
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = DIALUP_RETRIES_WAIT_N, value = 3
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = BODY_CURRENT_IC_ID, value = f2_1
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = EQPT_CONFIG, value = eqpt_config
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = LEEWELL_MQTT_TRANSPORT_MODE, value = SUBSCRIBE
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = SMF_TRUSTSTORE_X, value = ./cert/soledgeclient_sit.pfx
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = DIALUP_MODE_M, value = st,m1
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = SITE, value = f2
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = CLIENT_ID_AUTO_GENERATE_I, value = false
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = HEADER_COMPONENT_M, value = ecms
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = PUBLISH_RETRIES_WAIT_N, value = 3
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = PROGRESS_CALLBACK_ENABLED_I, value = false
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = LEEWELL_TRANSPORT_FORMAT, value = ESB
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = SMF_TIME_TO_LIVE_N, value = 0
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = EQPT_INIT, value = eqpt_init
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = BODY_LOG_LOC_X, value = /log.log
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = MQTT_SECURED_DRA_URL_X, value = ssl://10.150.130.1:9883,ssl://10.150.130.1:9883
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = PRODUCT_ID, value = gtosplus
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = MQTT_RECONNECT_DELAY_N, value = 2
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = SOLACE_LIMIT_N, value = 30000000
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = PRODUCT_FAMILY, value = ops
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = LEEWELL_MQTT_FORWARD_TOPICS, value = lms2023/Online/+/IndexData/#,lms2023/Online/+/WaveData/#,lms2023/Online/+/CheckData/#
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = MQTT_TRUSTSTORE_PWD_X, value = U2FsdGVkX1+9q74UGSEnQEztbfHvxCNfqCYVVrQSqYk=
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = LEEWELL_MQTT_PASSWORD, value = Leewell123!@#
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = DIALUP_TIMEOUT_N, value = 3
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = SMF_SYNC_MSG_TIMEOUT_N, value = 40
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = IC_LIST, value = f2_1,f2_2
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = MQTT_KEEP_ALIVE_INTERVAL_N, value = 3
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = BODY_DEFAULT_IC_ID, value = f2_1
2026-05-15 12:21:51.223 [main] INFO  com.lleewell.esbclient.config.ConfigLoader.lambda$init$0:130 - key = MQTT_TRUSTSTORE_X, value = ./cert/soledgeclient_sit.pfx
2026-05-15 12:21:51.247 [main] INFO  c.l.esbclient.config.DiscardWithMetricsPolicy.<init>:39 - Created DiscardWithMetricsPolicy for pool: mqttPublishExecutor
2026-05-15 12:21:51.263 [main] INFO  com.lleewell.esbclient.config.ThreadPoolConfig.subscribeExecutor:68 - Created mqttPublishExecutor - core: 2, max: 4, queue: 10000, policy: DiscardWithMetrics
2026-05-15 12:21:51.263 [main] INFO  c.l.esbclient.config.DiscardWithMetricsPolicy.<init>:39 - Created DiscardWithMetricsPolicy for pool: mqttMessageProcessExecutor
2026-05-15 12:21:51.263 [main] INFO  com.lleewell.esbclient.config.ThreadPoolConfig.publishExecutor:109 - Created mqttMessageProcessExecutor (ESBClient pool mode) - core: 2, max: 4, queue: 10000, policy: DiscardWithMetrics
2026-05-15 12:21:51.263 [main] INFO  c.l.esbclient.config.ThreadPoolMetricsConfig.registerThreadPoolMetrics:37 - Registering thread pool metrics...
2026-05-15 12:21:51.263 [main] INFO  c.l.esbclient.config.ThreadPoolMetricsConfig.registerThreadPoolMetrics:90 - Registered metrics for thread pool: subscribe_executor
2026-05-15 12:21:51.263 [main] INFO  c.l.esbclient.config.ThreadPoolMetricsConfig.registerThreadPoolMetrics:90 - Registered metrics for thread pool: publish_executor
2026-05-15 12:21:51.263 [main] INFO  c.l.esbclient.config.ThreadPoolMetricsConfig.registerThreadPoolMetrics:42 - Thread pool metrics registered successfully
2026-05-15 12:21:51.305 [main] INFO  c.l.esbclient.reliability.metrics.MetricsService.<init>:161 - MetricsService initialized successfully
2026-05-15 12:21:51.305 [main] INFO  com.lleewell.esbclient.config.ThreadPoolConfig.esbReconnectScheduler:133 - Created esbReconnectScheduler - core: 1
2026-05-15 12:21:51.321 [main] INFO  com.lleewell.esbclient.service.EsbClientService.init:157 - ESB client using enhanced reconnect strategy
2026-05-15 12:21:51.352 [main] WARN  c.p.g.e.c.internal.config.ConfigLengthValidator.validate:34 - SMF_VPN_M array size incorrect
2026-05-15 12:21:51.598 [main] INFO  c.s.t.impl.netty.NettyTransportExecutorService.<init>:49 - Epoll is not available; Netty 4.2.1.Final
2026-05-15 12:21:51.769 [main] INFO  c.s.jcsmp.protocol.impl.TcpClientChannel.info:63 - Client-1: Connecting to host 'orig=tcp://10.150.130.1:55555, scheme=tcp://, host=10.150.130.1, port=55555' (host 1 of 2, smfclient 1, attempt 1 of 4294967294, this_host_attempt: 1 of 1)
2026-05-15 12:21:51.965 [main] INFO  com.solacesystems.jcsmp.impl.JCSMPBasicSession.info:63 - Client-1: AdCtrl version changes: 2->4
2026-05-15 12:21:51.965 [main] INFO  c.s.jcsmp.protocol.impl.TcpClientChannel.info:63 - Client-1: Connected to host 'orig=tcp://10.150.130.1:55555, scheme=tcp://, host=10.150.130.1, port=55555' (smfclient 1) local(/10.150.78.6:53676) remote(/10.150.130.1:55555)
2026-05-15 12:21:51.996 [main] INFO  com.solacesystems.jcsmp.impl.SessionModeSupport.info:63 - Client-1: (Client name: F2_1_QC_1900100011-SERVER_ECMS_1   local(/10.150.78.6:53676) remote(/10.150.130.1:55555)) - Error Response (400) - Already Exists
2026-05-15 12:21:51.996 [main] INFO  c.s.jcsmp.protocol.impl.TcpClientChannel.info:63 - Client-2: Connecting to host 'orig=tcp://10.150.130.1:55555, scheme=tcp://, host=10.150.130.1, port=55555' (host 1 of 2, smfclient 2, attempt 1 of 4294967294, this_host_attempt: 1 of 1)
2026-05-15 12:21:52.007 [main] INFO  com.solacesystems.jcsmp.impl.JCSMPBasicSession.info:63 - Client-2: AdCtrl version changes: 2->4
2026-05-15 12:21:52.012 [main] INFO  c.s.jcsmp.protocol.impl.TcpClientChannel.info:63 - Client-2: Connected to host 'orig=tcp://10.150.130.1:55555, scheme=tcp://, host=10.150.130.1, port=55555' (smfclient 2) local(/10.150.78.6:53677) remote(/10.150.130.1:55555)
2026-05-15 12:21:52.012 [main] INFO  com.solacesystems.jcsmp.impl.SessionModeSupport.info:63 - Client-2: (Client name: F2_1_QC_1900100011-SERVER_ECMS_2   local(/10.150.78.6:53677) remote(/10.150.130.1:55555)) - Error Response (400) - Already Exists
2026-05-15 12:21:52.149 [Context_1_ConsumerDispatcher] INFO  com.lleewell.esbclient.service.EsbClientService.onMessageReceived:103 - Received string message:
2026-05-15 12:21:52.149 [Context_1_ConsumerDispatcher] INFO  com.lleewell.esbclient.service.EsbClientService.onMessageReceived:104 - trans_id : ISS_FORWARD
